hip,ra,dec,radeg,decdeg
39870,08 08 39.37,-18 23 45.4,122.164,-18.396
39871,08 08 40.04,+58 17 10.5,122.167,58.286
39872,08 08 41.21,+02 56 42.7,122.172,2.945
39873,08 08 41.61,-49 29 50.1,122.173,-49.497
39874,08 08 42.44,+13 38 27.4,122.177,13.641
39875,08 08 43.43,+49 43 09.4,122.181,49.719
∗39876,08 08 43.58,-20 21 47.4,122.182,-20.363
∗39877,08 08 43.50,-10 47 22.6,122.181,-10.79
39878,08 08 44.09,+57 49 45.4,122.184,57.829
39879,08 08 44.46,-60 37 33.0,122.185,-60.626
39880,08 08 45.92,-50 29 30.3,122.191,-50.492
39881,08 08 47.08,+34 53 25.8,122.196,34.891
39882,08 08 48.17,+02 09 53.0,122.201,2.165
39883,08 08 48.74,+12 57 11.3,122.203,12.953
39884,08 08 48.74,+00 27 34.2,122.203,0.46
39885,08 08 48.91,-61 34 07.7,122.204,-61.569
39886,08 08 49.23,+37 13 37.2,122.205,37.227
39887,08 08 49.34,-76 38 15.7,122.206,-76.638
39888,08 08 49.61,+27 28 49.7,122.207,27.48
39889,08 08 51.31,-21 41 59.6,122.214,-21.7
39890,08 08 52.51,-55 26 05.9,122.219,-55.435
39891,08 08 52.61,+45 04 19.8,122.219,45.072
39892,08 08 52.96,+44 02 23.4,122.221,44.04
39893,08 08 54.45,+24 37 29.6,122.227,24.625
39894,08 08 55.82,-33 14 47.0,122.233,-33.246
39895,08 08 55.91,-15 58 40.2,122.233,-15.978
39896,08 08 56.42,+32 49 13.1,122.235,32.82
39897,08 08 56.71,-68 59 29.9,122.236,-68.992
39898,08 08 56.85,-11 20 22.7,122.237,-11.34
39899,08 08 56.86,-71 43 18.6,122.237,-71.722
39900,08 08 57.81,-53 00 04.3,122.241,-53.001
∗39901,08 08 59.41,-39 31 04.0,122.248,-39.518
∗39902,08 08 59.29,-29 14 30.2,122.247,-29.242
39903,08 09 00.86,-61 18 06.1,122.254,-61.302
39904,08 09 01.25,+08 02 22.2,122.255,8.04
39905,08 09 01.45,+81 42 36.1,122.256,81.71
39906,08 09 01.64,-19 14 42.0,122.257,-19.245
39907,08 09 02.63,-39 30 49.2,122.261,-39.514
39908,08 09 02.81,-20 29 57.9,122.262,-20.499
39909,08 09 03.85,+27 01 45.5,122.266,27.029
39910,08 09 04.67,+10 30 35.2,122.269,10.51
39911,08 09 05.35,-42 04 30.1,122.272,-42.075
39912,08 09 05.78,-50 31 11.7,122.274,-50.52
39913,08 09 06.21,+51 18 59.9,122.276,51.317
39914,08 09 06.65,-30 19 22.1,122.278,-30.323
39915,08 09 07.05,-29 52 19.4,122.279,-29.872
39916,08 09 08.93,+37 14 00.1,122.287,37.233
39917,08 09 09.38,+47 07 54.7,122.289,47.132
39918,08 09 09.49,-31 38 47.1,122.29,-31.646
39919,08 09 09.51,-48 41 03.9,122.29,-48.684
39920,08 09 10.19,-35 27 18.2,122.292,-35.455
39921,08 09 11.34,-67 40 29.0,122.297,-67.675
39922,08 09 12.15,-64 46 34.5,122.301,-64.776
39923,08 09 12.52,-11 34 53.3,122.302,-11.581
39924,08 09 12.85,+03 47 16.4,122.304,3.788
39925,08 09 14.74,-17 21 43.0,122.311,-17.362
39926,08 09 15.55,-21 34 34.8,122.315,-21.576
39927,08 09 15.70,-04 33 10.0,122.315,-4.553
39928,08 09 16.61,-15 34 12.6,122.319,-15.57
39929,08 09 17.24,+50 56 09.9,122.322,50.936
39930,08 09 17.90,-00 07 01.0,122.325,-0.117
39931,08 09 18.30,-00 26 57.3,122.326,-0.449
39932,08 09 18.47,-51 00 44.6,122.327,-51.012
39933,08 09 18.50,-51 01 01.3,122.327,-51.017
39934,08 09 19.16,+20 07 07.6,122.33,20.119
39935,08 09 20.65,+45 46 03.3,122.336,45.768
39936,08 09 21.88,+08 33 40.4,122.341,8.561
39937,08 09 22.15,+01 18 50.8,122.342,1.314
39938,08 09 23.06,+42 25 50.8,122.346,42.431
39939,08 09 23.49,+30 20 34.0,122.348,30.343
39940,08 09 23.95,+30 20 49.2,122.35,30.347
39941,08 09 24.88,+24 49 34.2,122.354,24.826
∗39942,08 09 28.54,+70 12 29.2,122.369,70.208
∗39943,08 09 28.54,-16 14 56.1,122.369,-16.249
39944,08 09 28.87,+55 15 21.3,122.37,55.256
39945,08 09 29.56,-31 05 08.4,122.373,-31.086
39946,08 09 29.59,+54 16 22.8,122.373,54.273
39947,08 09 30.13,-51 50 34.2,122.376,-51.843
39948,08 09 30.34,+32 13 16.2,122.376,32.221
39949,08 09 30.55,-59 32 29.8,122.377,-59.542
39950,08 09 31.15,+21 54 17.8,122.38,21.905
39951,08 09 31.23,-52 34 28.1,122.38,-52.574
39952,08 09 31.69,-60 13 14.4,122.382,-60.221
39953,08 09 31.96,-47 20 11.8,122.383,-47.337
39954,08 09 32.28,+05 55 37.5,122.385,5.927
∗39955,08 09 33.33,+65 39 39.9,122.389,65.661
∗39956,08 09 33.24,-53 32 32.5,122.388,-53.542
39957,08 09 33.63,-56 05 07.7,122.39,-56.085
39958,08 09 35.19,+29 05 35.1,122.397,29.093
39959,08 09 35.64,-11 25 51.6,122.398,-11.431
39960,08 09 35.76,+44 28 17.8,122.399,44.472
39961,08 09 35.92,-44 07 22.0,122.4,-44.123
39962,08 09 36.17,-02 10 39.6,122.401,-2.178
39963,08 09 36.89,-40 17 00.5,122.404,-40.283
39964,08 09 36.91,-42 45 16.6,122.404,-42.755
39965,08 09 37.31,-36 49 53.6,122.405,-36.832
39966,08 09 39.75,+35 42 08.9,122.416,35.702
39967,08 09 39.79,-38 10 28.5,122.416,-38.175
39968,08 09 39.83,-27 26 21.0,122.416,-27.439
39969,08 09 42.36,+25 33 32.7,122.427,25.559
39970,08 09 43.16,-47 56 14.0,122.43,-47.937
39971,08 09 44.77,+00 20 09.9,122.437,0.336
39972,08 09 45.97,+48 22 29.0,122.442,48.375
39973,08 09 46.73,-13 44 42.3,122.445,-13.745
39974,08 09 47.70,-42 38 27.0,122.449,-42.641
39975,08 09 48.24,-05 11 58.0,122.451,-5.199
39976,08 09 49.92,-26 30 50.7,122.458,-26.514
39977,08 09 50.54,+39 05 08.1,122.461,39.086
39978,08 09 51.30,+12 41 20.9,122.464,12.689
39979,08 09 52.18,-43 31 42.2,122.467,-43.528
39980,08 09 52.90,-53 15 02.7,122.47,-53.251
39981,08 09 53.91,-43 42 52.3,122.475,-43.715
39982,08 09 54.61,+17 15 05.8,122.478,17.252
39983,08 09 56.42,-18 18 53.3,122.485,-18.315
39984,08 09 57.33,-12 44 58.5,122.489,-12.75
39985,08 09 57.91,+29 07 30.3,122.491,29.125
39986,08 09 58.46,+01 01 13.8,122.494,1.02
39987,08 09 58.55,-52 58 11.3,122.494,-52.97
39988,08 09 59.23,-49 16 11.0,122.497,-49.27
39989,08 09 59.46,-34 30 21.4,122.498,-34.506
39990,08 10 00.91,+17 00 59.4,122.504,17.017
39991,08 10 01.40,+19 02 50.4,122.506,19.047
39992,08 10 01.79,-47 49 05.9,122.507,-47.818
39993,08 10 01.89,-49 51 15.6,122.508,-49.854
39994,08 10 03.21,-41 09 22.9,122.513,-41.156
39995,08 10 03.80,+58 14 54.3,122.516,58.248
39996,08 10 06.28,-32 55 06.2,122.526,-32.918
39997,08 10 06.46,-06 44 42.5,122.527,-6.745
∗39998,08 10 06.66,-84 26 41.8,122.528,-84.445
∗39999,08 10 06.61,+14 30 29.6,122.528,14.508
40000,08 10 07.45,+69 26 24.4,122.531,69.44
40001,08 10 11.32,+35 27 20.0,122.547,35.456
40002,08 10 11.63,+69 24 56.9,122.548,69.416
40003,08 10 11.97,-38 09 42.4,122.55,-38.162
40004,08 10 12.10,+05 16 25.6,122.55,5.274
40005,08 10 12.14,-35 38 48.1,122.551,-35.647
40006,08 10 12.58,+55 48 16.1,122.552,55.804
40007,08 10 13.12,+25 50 40.4,122.555,25.845
40008,08 10 13.80,-03 16 07.1,122.558,-3.269
40009,08 10 13.92,+27 05 21.1,122.558,27.089
40010,08 10 15.62,-22 31 59.8,122.565,-22.533
40011,08 10 16.09,-49 02 05.8,122.567,-49.035
40012,08 10 17.90,+09 10 05.4,122.575,9.168
40013,08 10 19.57,+41 38 16.6,122.582,41.638
40014,08 10 19.84,-61 50 44.7,122.583,-61.846
40015,08 10 20.20,+69 43 29.3,122.584,69.725
40016,08 10 20.57,-49 14 14.5,122.586,-49.237
40017,08 10 21.34,-18 11 30.8,122.589,-18.192
40018,08 10 23.53,-30 13 59.7,122.598,-30.233
40019,08 10 23.75,-48 03 56.5,122.599,-48.066
40020,08 10 23.79,-41 01 16.0,122.599,-41.021
40021,08 10 24.92,-78 01 23.3,122.604,-78.023
40022,08 10 27.02,+07 02 02.2,122.613,7.034
40023,08 10 27.23,+25 30 29.4,122.613,25.508
40024,08 10 27.25,-49 09 51.0,122.614,-49.164
40025,08 10 30.57,-09 36 17.1,122.627,-9.605
40026,08 10 31.41,+37 20 54.7,122.631,37.349
40027,08 10 32.85,-48 11 14.5,122.637,-48.187
40028,08 10 33.33,-30 54 28.4,122.639,-30.908
40029,08 10 34.46,-39 39 52.6,122.644,-39.665
40030,08 10 34.56,-70 47 02.3,122.644,-70.784
40031,08 10 36.20,-64 02 48.5,122.651,-64.047
40032,08 10 37.04,+78 51 30.8,122.654,78.859
40033,08 10 39.41,+63 09 14.4,122.664,63.154
40034,08 10 39.59,-80 35 09.7,122.665,-80.586
40035,08 10 39.98,-13 47 57.7,122.667,-13.799
40036,08 10 40.40,+02 56 58.4,122.668,2.95
40037,08 10 40.89,+38 22 07.4,122.67,38.369
40038,08 10 42.86,-12 40 11.6,122.679,-12.67
40039,08 10 44.37,+36 37 59.1,122.685,36.633
40040,08 10 44.59,+59 11 35.0,122.686,59.193
40041,08 10 44.81,+52 08 34.5,122.687,52.143
∗40042,08 10 46.33,+10 14 39.4,122.693,10.244
∗40043,08 10 46.32,-62 53 48.5,122.693,-62.897
40044,08 10 47.66,-32 36 14.5,122.699,-32.604
40045,08 10 47.78,-38 16 08.0,122.699,-38.269
40046,08 10 48.32,+67 12 46.3,122.701,67.213
40047,08 10 49.47,+74 57 57.8,122.706,74.966
40048,08 10 50.81,+34 42 36.1,122.712,34.71
40049,08 10 51.44,-32 22 46.8,122.714,-32.38
40050,08 10 51.92,+35 54 43.3,122.716,35.912
40051,08 10 52.58,-42 48 38.1,122.719,-42.811
40052,08 10 53.10,+42 47 00.1,122.721,42.783
40053,08 10 53.15,-51 11 26.1,122.721,-51.191
40054,08 10 53.75,+20 46 44.6,122.724,20.779
40055,08 10 57.02,+77 38 32.6,122.738,77.642
40056,08 10 57.47,-39 04 41.2,122.739,-39.078
40057,08 10 58.46,-06 44 52.7,122.744,-6.748
40058,08 10 58.90,+14 37 46.3,122.745,14.63
40059,08 10 59.56,-49 17 03.9,122.748,-49.284
40060,08 10 59.73,+65 13 22.1,122.749,65.223
40061,08 11 01.13,-00 18 40.5,122.755,-0.311
40062,08 11 01.41,+54 14 03.8,122.756,54.234
40063,08 11 01.69,-37 17 32.6,122.757,-37.292
40064,08 11 02.77,-01 10 05.4,122.762,-1.168
40065,08 11 02.95,+09 34 36.1,122.762,9.577
40066,08 11 03.36,-18 58 26.7,122.764,-18.974
40067,08 11 04.91,+58 22 53.2,122.77,58.381
40068,08 11 05.78,+79 54 32.8,122.774,79.909
40069,08 11 06.29,-54 55 17.9,122.776,-54.922
40070,08 11 07.44,-40 45 30.1,122.781,-40.758
40071,08 11 09.68,+53 14 43.0,122.79,53.245
∗40072,08 11 09.79,-46 17 50.5,122.791,-46.297
∗40073,08 11 09.69,+84 24 26.3,122.79,84.407
∗40074,08 11 10.52,-26 53 03.0,122.794,-26.884
∗40075,08 11 10.47,+27 50 14.5,122.794,27.837
40076,08 11 10.75,-67 40 04.2,122.795,-67.668
40077,08 11 10.80,-48 27 43.2,122.795,-48.462
40078,08 11 10.81,-33 30 57.2,122.795,-33.516
40079,08 11 12.08,-64 30 23.2,122.8,-64.506
40080,08 11 13.18,-01 33 58.9,122.805,-1.566
40081,08 11 14.63,-77 05 51.1,122.811,-77.098
40082,08 11 14.76,-07 11 57.0,122.811,-7.199
40083,08 11 15.59,-37 39 56.7,122.815,-37.666
40084,08 11 16.32,-12 55 37.3,122.818,-12.927
40085,08 11 16.60,+09 49 16.6,122.819,9.821
40086,08 11 18.03,+54 32 25.7,122.825,54.54
40087,08 11 18.12,-02 36 17.6,122.826,-2.605
40088,08 11 18.77,-45 49 05.3,122.828,-45.818
40089,08 11 20.53,+47 34 52.8,122.836,47.581
40090,08 11 20.81,+74 21 46.8,122.837,74.363
40091,08 11 21.50,-39 37 06.8,122.84,-39.619
40092,08 11 21.71,-36 48 03.5,122.84,-36.801
40093,08 11 21.73,+38 43 53.4,122.841,38.732
40094,08 11 21.86,+55 29 23.8,122.841,55.49
40095,08 11 23.68,+78 15 31.6,122.849,78.259
40096,08 11 25.90,-42 59 14.2,122.858,-42.987
40097,08 11 27.01,+04 22 49.7,122.863,4.38
40098,08 11 28.74,+43 24 26.1,122.87,43.407
40099,08 11 29.78,+06 01 23.4,122.874,6.023
40100,08 11 30.16,-14 26 17.3,122.876,-14.438
40101,08 11 30.46,+38 07 26.1,122.877,38.124
40102,08 11 30.72,+23 28 56.2,122.878,23.482
40103,08 11 31.05,+31 18 16.5,122.879,31.305
∗40104,08 11 32.47,-89 00 15.7,122.885,-89.004
∗40105,08 11 31.99,-70 30 41.3,122.883,-70.511
∗40106,08 11 32.24,+07 12 51.3,122.884,7.214
40107,08 11 33.03,-07 46 20.9,122.888,-7.772
40108,08 11 33.17,-74 59 57.0,122.888,-74.999
40109,08 11 33.65,-46 13 58.5,122.89,-46.233
40110,08 11 33.70,-06 00 57.4,122.89,-6.016
40111,08 11 34.07,-67 21 18.4,122.892,-67.355
40112,08 11 34.91,-56 21 35.3,122.895,-56.36
40113,08 11 35.20,+16 59 52.6,122.897,16.998
40114,08 11 36.01,+09 40 39.8,122.9,9.678
40115,08 11 36.75,+16 13 03.6,122.903,16.218
40116,08 11 36.86,-59 14 57.7,122.904,-59.249
40117,08 11 38.10,+06 10 08.8,122.909,6.169
40118,08 11 38.96,+32 27 31.3,122.912,32.459
40119,08 11 39.96,+45 25 32.3,122.916,45.426
40120,08 11 40.98,+24 12 27.6,122.921,24.208
40121,08 11 43.33,+60 19 49.3,122.931,60.33
40122,08 11 44.12,-44 02 02.2,122.934,-44.034
40123,08 11 44.72,+11 11 00.4,122.936,11.183
40124,08 11 45.57,+03 36 31.0,122.94,3.609
40125,08 11 46.22,+45 19 24.8,122.943,45.324
40126,08 11 47.19,-44 14 25.2,122.947,-44.24
∗40127,08 11 47.90,+66 01 01.7,122.95,66.017
∗40128,08 11 47.90,+40 32 00.7,122.95,40.534
40129,08 11 48.17,-12 40 43.7,122.951,-12.679
40130,08 11 48.78,+16 05 52.3,122.953,16.098
40131,08 11 48.83,+51 19 20.5,122.953,51.322
40132,08 11 49.17,+00 36 32.5,122.955,0.609
40133,08 11 49.21,+16 31 28.2,122.955,16.524
40134,08 11 49.49,+13 26 44.9,122.956,13.446
40135,08 11 49.54,+51 46 08.5,122.956,51.769
40136,08 11 49.59,+04 16 27.9,122.957,4.274
40137,08 11 49.79,-48 24 29.4,122.957,-48.408
∗40138,08 11 50.35,-30 19 21.8,122.96,-30.323
∗40139,08 11 50.24,-27 31 24.8,122.959,-27.524
40140,08 11 51.20,+31 52 24.9,122.963,31.874
40141,08 11 51.31,+08 40 16.0,122.964,8.671
40142,08 11 51.36,-37 34 26.7,122.964,-37.574
40143,08 11 51.94,-38 58 04.7,122.966,-38.968
40144,08 11 53.36,-35 46 22.9,122.972,-35.773
40145,08 11 53.95,-08 06 48.8,122.975,-8.114
40146,08 11 54.09,-11 28 21.3,122.975,-11.473
40147,08 11 54.78,-41 47 19.1,122.978,-41.789
40148,08 11 54.82,-30 12 42.8,122.978,-30.212
40149,08 11 55.00,+45 12 33.5,122.979,45.209
40150,08 11 55.96,+81 03 07.4,122.983,81.052
40151,08 11 56.93,+13 23 20.9,122.987,13.389
40152,08 11 57.35,-51 57 45.5,122.989,-51.963
40153,08 11 59.44,-53 47 18.0,122.998,-53.788
40154,08 11 59.84,-40 29 03.4,122.999,-40.484
40155,08 11 59.97,-46 38 39.7,123.0,-46.644
40156,08 12 02.51,-21 59 33.9,123.01,-21.993
40157,08 12 04.33,+25 10 49.3,123.018,25.18
40158,08 12 05.05,+46 56 30.1,123.021,46.942
40159,08 12 05.66,+33 37 15.5,123.024,33.621
40160,08 12 06.06,-43 24 01.6,123.025,-43.4
40161,08 12 06.84,+59 53 51.1,123.028,59.898
40162,08 12 07.88,-35 43 58.4,123.033,-35.733
40163,08 12 09.19,-20 41 20.1,123.038,-20.689
40164,08 12 11.16,-28 34 36.9,123.046,-28.577
40165,08 12 11.62,+48 57 33.4,123.048,48.959
40166,08 12 12.60,-08 32 09.1,123.052,-8.536
40167,08 12 12.71,+17 38 53.3,123.053,17.648
40168,08 12 13.06,-49 49 44.6,123.054,-49.829
40169,08 12 13.57,+02 17 21.3,123.057,2.289
40170,08 12 14.55,+51 54 27.3,123.061,51.908
40171,08 12 15.41,-37 31 45.2,123.064,-37.529
40172,08 12 15.70,-60 02 21.6,123.065,-60.039
40173,08 12 15.95,-71 15 57.4,123.066,-71.266
40174,08 12 16.08,-40 30 11.1,123.067,-40.503
40175,08 12 16.89,+39 41 59.3,123.07,39.7
40176,08 12 17.56,-24 10 29.5,123.073,-24.175
40177,08 12 22.19,+14 00 14.9,123.092,14.004
40178,08 12 22.41,-36 56 37.6,123.093,-36.944
40179,08 12 22.64,-73 10 55.8,123.094,-73.182
40180,08 12 24.35,-10 49 58.5,123.101,-10.833
40181,08 12 27.37,-36 59 21.3,123.114,-36.989
40182,08 12 28.22,-61 11 16.1,123.118,-61.188
40183,08 12 30.80,-46 15 51.5,123.128,-46.264
40184,08 12 31.47,+17 37 31.9,123.131,17.626
40185,08 12 31.57,+56 00 50.2,123.132,56.014
40186,08 12 31.81,+02 50 05.1,123.133,2.835
40187,08 12 31.89,+18 31 01.0,123.133,18.517
40188,08 12 32.73,-54 08 47.5,123.136,-54.147
40189,08 12 33.19,-45 03 33.5,123.138,-45.059
40190,08 12 33.62,+50 00 33.0,123.14,50.009
40191,08 12 34.95,-36 40 02.2,123.146,-36.667
40192,08 12 36.13,+28 49 12.6,123.151,28.82
40193,08 12 36.80,+34 26 44.7,123.153,34.446
40194,08 12 36.87,+14 35 17.4,123.154,14.588
40195,08 12 37.29,+46 00 35.7,123.155,46.01
40196,08 12 37.68,-36 40 27.9,123.157,-36.674
40197,08 12 38.50,+11 11 28.0,123.16,11.191
40198,08 12 39.43,+07 18 21.6,123.164,7.306
40199,08 12 39.44,-44 23 31.6,123.164,-44.392
40200,08 12 39.51,+26 13 27.2,123.165,26.224
40201,08 12 39.93,-10 32 19.2,123.166,-10.539
40202,08 12 40.87,+19 03 04.8,123.17,19.051
40203,08 12 41.36,-61 50 56.7,123.172,-61.849
40204,08 12 41.53,-66 23 25.8,123.173,-66.391
40205,08 12 42.34,-13 28 46.8,123.176,-13.48
40206,08 12 42.97,+66 37 38.9,123.179,66.627
40208,08 12 43.64,-68 21 28.0,123.182,-68.358
40209,08 12 44.43,+29 32 30.9,123.185,29.542
40210,08 12 44.67,+79 13 15.9,123.186,79.221
40211,08 12 45.93,-29 54 39.1,123.191,-29.911
40212,08 12 46.20,+47 10 36.0,123.192,47.177
40213,08 12 47.22,-50 39 42.9,123.197,-50.662
40214,08 12 48.13,+11 11 04.9,123.201,11.185
40215,08 12 48.79,+68 28 26.6,123.203,68.474
40216,08 12 49.25,+22 22 47.4,123.205,22.38
40217,08 12 50.68,+04 55 42.8,123.211,4.929
40218,08 12 50.72,-36 13 41.4,123.211,-36.228
40219,08 12 51.37,+72 35 23.8,123.214,72.59
40220,08 12 51.56,-37 55 28.1,123.215,-37.924
40221,08 12 51.93,-07 12 15.8,123.216,-7.204
40222,08 12 52.54,+09 34 40.2,123.219,9.578
40223,08 12 53.38,-16 12 57.9,123.222,-16.216
40224,08 12 54.89,+39 28 23.5,123.229,39.473
40225,08 12 55.10,-35 23 34.8,123.23,-35.393
40226,08 12 56.72,+30 26 35.4,123.236,30.443
40227,08 12 56.73,-40 32 20.9,123.236,-40.539
40228,08 12 56.94,-13 51 20.5,123.237,-13.856
40229,08 12 58.84,-14 57 07.9,123.245,-14.952
40230,08 12 59.05,+55 37 31.2,123.246,55.625
40231,08 12 59.74,+16 30 51.7,123.249,16.514
40232,08 13 01.14,+13 55 58.5,123.255,13.933
40233,08 13 04.22,-34 34 42.7,123.268,-34.579
40234,08 13 04.46,+25 18 52.6,123.269,25.315
40235,08 13 05.03,-19 27 25.6,123.271,-19.457
40236,08 13 06.25,+41 33 40.4,123.276,41.561
40237,08 13 07.05,-12 43 09.7,123.279,-12.719
40238,08 13 08.55,-05 38 35.7,123.286,-5.643
40239,08 13 08.61,-13 54 56.9,123.286,-13.916
40240,08 13 08.87,+29 39 23.7,123.287,29.657
40241,08 13 09.05,+43 00 02.2,123.288,43.001
40242,08 13 10.78,+50 06 58.0,123.295,50.116
40243,08 13 11.17,-21 14 29.1,123.297,-21.241
40244,08 13 11.71,-23 58 12.4,123.299,-23.97
40245,08 13 11.87,+39 59 13.4,123.299,39.987
40246,08 13 12.96,-23 30 43.4,123.304,-23.512
40247,08 13 13.21,+05 00 06.5,123.305,5.002
40248,08 13 13.42,-22 23 51.1,123.306,-22.398
40249,08 13 14.96,+64 02 14.4,123.312,64.037
40250,08 13 15.03,-32 09 22.1,123.313,-32.156
40251,08 13 15.09,-52 14 10.3,123.313,-52.236
40252,08 13 16.44,-24 17 33.2,123.319,-24.293
40253,08 13 17.46,+49 13 17.8,123.323,49.222
40254,08 13 18.03,-05 38 26.4,123.325,-5.641
40255,08 13 18.20,-36 20 30.3,123.326,-36.342
40256,08 13 18.80,+03 07 53.4,123.328,3.131
40257,08 13 19.34,-32 58 08.6,123.331,-32.969
40258,08 13 19.54,-18 08 22.2,123.331,-18.139
40259,08 13 19.98,-15 47 17.6,123.333,-15.788
40260,08 13 20.46,-42 42 00.5,123.335,-42.7
40261,08 13 20.53,+70 27 55.6,123.336,70.465
40262,08 13 21.67,+56 31 40.8,123.34,56.528
40263,08 13 21.79,-01 09 57.2,123.341,-1.166
40264,08 13 21.91,-41 24 51.2,123.341,-41.414
40265,08 13 22.29,-38 26 18.1,123.343,-38.438
∗40266,08 13 22.51,+21 36 38.1,123.344,21.611
∗40267,08 13 22.46,+35 02 08.2,123.344,35.036
40268,08 13 22.66,-36 18 37.6,123.344,-36.31
40269,08 13 22.86,-45 34 10.2,123.345,-45.57
40270,08 13 22.93,+20 16 50.4,123.346,20.281
40271,08 13 25.06,-04 03 53.6,123.354,-4.065
40272,08 13 25.87,-53 17 38.0,123.358,-53.294
40273,08 13 27.79,+48 16 51.1,123.366,48.281
40274,08 13 29.52,-35 53 58.4,123.373,-35.9
40275,08 13 29.75,-62 29 12.0,123.374,-62.487
40276,08 13 30.91,-20 34 29.3,123.379,-20.575
40277,08 13 31.06,-23 57 11.4,123.379,-23.953
40278,08 13 31.08,+28 17 30.7,123.379,28.292
40279,08 13 32.70,-33 17 59.2,123.386,-33.3
40280,08 13 34.19,+10 50 50.4,123.392,10.847
40281,08 13 34.21,-06 35 39.9,123.393,-6.594
40282,08 13 34.23,-50 11 45.8,123.393,-50.196
40283,08 13 34.73,-31 44 08.7,123.395,-31.736
40284,08 13 35.97,+10 22 50.4,123.4,10.381
40285,08 13 36.16,-46 59 30.0,123.401,-46.992
40286,08 13 36.37,-45 35 47.7,123.402,-45.597
40287,08 13 36.84,-17 07 29.3,123.403,-17.125
40288,08 13 37.52,+81 45 28.1,123.406,81.758
40289,08 13 37.79,+16 38 49.1,123.407,16.647
40290,08 13 40.62,-63 25 18.9,123.419,-63.422
40291,08 13 41.05,-33 34 10.4,123.421,-33.57
40292,08 13 41.46,-76 10 01.0,123.423,-76.167
40293,08 13 41.71,+23 08 15.9,123.424,23.138
40294,08 13 41.88,+34 06 41.1,123.424,34.111
40295,08 13 43.35,-22 20 27.2,123.431,-22.341
40296,08 13 43.91,-31 32 57.3,123.433,-31.549
40297,08 13 45.52,+01 59 08.5,123.44,1.986
40298,08 13 45.58,+63 06 13.3,123.44,63.104
40299,08 13 45.66,-46 34 43.3,123.44,-46.579
40300,08 13 46.63,-41 27 57.2,123.444,-41.466
40301,08 13 46.75,+66 15 21.1,123.445,66.256
40302,08 13 47.72,-05 37 25.9,123.449,-5.624
40303,08 13 49.23,-32 19 09.9,123.455,-32.319
40304,08 13 49.94,+01 15 24.7,123.458,1.257
40305,08 13 50.20,+56 27 08.3,123.459,56.452
40306,08 13 50.61,+22 16 47.0,123.461,22.28
40307,08 13 50.74,-35 12 29.7,123.461,-35.208
40308,08 13 51.89,+06 18 11.9,123.466,6.303
40309,08 13 52.64,-47 12 42.3,123.469,-47.212
40310,08 13 53.14,-57 46 05.9,123.471,-57.768
40311,08 13 53.52,+27 46 43.0,123.473,27.779
40312,08 13 53.77,+07 43 57.9,123.474,7.733
40313,08 13 54.15,-56 44 24.9,123.476,-56.74
40314,08 13 54.24,+61 34 04.8,123.476,61.568
40315,08 13 54.54,-43 37 08.5,123.477,-43.619
40316,08 13 55.89,-37 40 42.5,123.483,-37.678
40317,08 13 57.11,-04 03 12.6,123.488,-4.053
40318,08 13 57.13,-50 18 44.4,123.488,-50.312
40319,08 13 57.71,+39 02 18.2,123.49,39.038
40320,08 13 58.08,-44 45 03.7,123.492,-44.751
40321,08 13 58.32,-36 19 20.3,123.493,-36.322
40322,08 13 58.43,-10 01 55.7,123.493,-10.032
40323,08 13 58.70,-04 39 18.5,123.495,-4.655
40324,08 13 58.71,-36 20 26.9,123.495,-36.341
40325,08 14 02.79,+21 40 04.7,123.512,21.668
40326,08 14 02.89,-40 20 51.8,123.512,-40.348
40327,08 14 03.23,+19 40 36.7,123.513,19.677
40328,08 14 03.80,-36 57 08.0,123.516,-36.952
40329,08 14 04.68,-25 42 42.4,123.519,-25.712
40330,08 14 05.12,-44 34 33.1,123.521,-44.576
40331,08 14 05.29,+12 16 08.8,123.522,12.269
40332,08 14 05.90,+44 43 25.3,123.525,44.724
40333,08 14 07.53,-46 38 41.5,123.531,-46.645
40334,08 14 07.69,-61 26 32.0,123.532,-61.442
40335,08 14 08.75,+87 41 32.7,123.536,87.692
40336,08 14 08.90,-49 14 04.0,123.537,-49.234
40337,08 14 10.08,+79 43 47.7,123.542,79.73
40338,08 14 10.32,+37 45 15.8,123.543,37.754
40339,08 14 10.35,-65 54 58.1,123.543,-65.916
40340,08 14 10.91,-34 47 29.8,123.545,-34.792
40341,08 14 11.04,-32 08 26.6,123.546,-32.141
40342,08 14 11.14,+17 40 33.3,123.546,17.676
40343,08 14 13.12,-24 55 56.8,123.555,-24.932
40344,08 14 13.29,-35 29 24.3,123.555,-35.49
40345,08 14 15.63,-31 57 11.1,123.565,-31.953
40346,08 14 16.10,-49 02 58.1,123.567,-49.049
40347,08 14 16.31,+68 55 22.2,123.568,68.923
40348,08 14 17.03,-05 54 00.6,123.571,-5.9
40349,08 14 17.16,+33 33 15.0,123.572,33.554
40350,08 14 18.39,-43 41 39.8,123.577,-43.694
40351,08 14 18.77,+08 34 24.7,123.578,8.574
∗40352,08 14 20.28,+45 34 31.6,123.585,45.575
∗40353,08 14 20.21,-50 21 57.9,123.584,-50.366
40354,08 14 21.01,+13 02 54.0,123.588,13.048
40355,08 14 21.67,-16 11 08.7,123.59,-16.186
40356,08 14 23.85,+75 50 05.5,123.599,75.835
40357,08 14 23.88,-45 50 04.4,123.6,-45.835
