objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237648721252190070,756,301,3,756,1910,6,229.016757444653,-0.0602822511522962,23.50044,21.92001,21.66694,21.42831,21.35451,0.453714,0.06061003,0.07358333,0.08838255,0.3108675
1237648721252190044,756,301,3,756,1884,6,229.010141660182,-0.0617247400873732,22.33269,21.34846,20.99254,20.95688,21.19655,0.1868353,0.03929102,0.04241502,0.05972137,0.2789789
1237648721252190045,756,301,3,756,1885,6,229.010937868097,-0.0621962113913286,23.45419,22.1804,21.74253,21.70229,21.83749,0.4735836,0.07897295,0.08212336,0.1178637,0.4728444
1237648721252190896,756,301,3,756,2736,6,229.021262180711,-0.0947759585828158,22.85033,21.66034,21.27664,20.98019,20.96342,0.296411,0.05303834,0.05678086,0.06526956,0.2510069
1237648721252190077,756,301,3,756,1917,6,229.015422169286,-0.0849414620870106,21.86291,20.94848,20.69916,20.54096,20.44704,0.1250959,0.02871693,0.03308487,0.04160177,0.1477922
1237648721252190078,756,301,3,756,1918,6,229.016753053854,-0.087199094368662,22.22042,21.39336,21.02015,20.92145,20.83772,0.1670659,0.04051312,0.04288913,0.05710296,0.2059287
1237648721252190081,756,301,3,756,1921,6,229.014434201762,-0.0870744765192042,24.14369,22.60338,22.52106,22.13905,22.07805,0.6410804,0.1098752,0.1557729,0.1649944,0.5201122
1237648721252190079,756,301,3,756,1919,6,229.015512852299,-0.087921046886271,24.10009,22.00784,21.75438,21.59088,21.68399,0.6597104,0.06555821,0.07935124,0.1015751,0.4030561
1237648721252189191,756,301,3,756,1031,6,229.012409211149,-0.0938166256390022,24.38498,23.24616,22.65165,22.82062,21.88306,0.7176787,0.1916506,0.1791086,0.3073683,0.487505
1237648721252190096,756,301,3,756,1936,6,229.015580605269,-0.0943403576927336,22.3828,21.17768,20.88084,20.85606,20.55915,0.1962746,0.03470102,0.03903773,0.05551872,0.1681733
1237648721252189186,756,301,3,756,1026,3,229.013942832497,-0.0924429913419587,23.19424,21.43507,21.15085,20.91962,21.52688,0.4688508,0.05126031,0.06071267,0.07443554,0.481859
1237648721252189193,756,301,3,756,1033,3,229.014261661255,-0.0907712099846014,24.48755,23.0981,23.42893,23.16253,22.66636,0.8484188,0.1976071,0.4035711,0.4731932,0.8016261
