objid,ra,dec,u,g,r,i,z
1237648721252189488,229.06607329161,-0.100237256625592,23.69613,24.77845,23.00035,21.57436,20.79173
1237648721252189493,229.066502597382,-0.099152008470308,24.3901,22.68056,22.19952,22.04445,22.20418
1237648721252189483,229.066450469811,-0.107340650286871,22.66559,21.60089,21.30331,20.98181,21.02194
1237648721252189487,229.065726921353,-0.10356521208024,23.76591,22.34245,21.78835,21.57378,21.29798
1237648721252189494,229.066277459323,-0.104915878868209,24.92373,22.64414,22.23635,22.26715,22.14747
1237648721252189490,229.066388577985,-0.105710594096973,23.53149,22.53893,22.1469,21.86159,21.88112
1237648721252189480,229.067544640581,-0.103976914630299,21.8607,20.64367,20.31785,20.19031,19.99931
1237648721252189484,229.067893179741,-0.102488986922244,22.69081,21.60074,21.25116,21.13363,21.17034
1237648721252191115,229.065715420337,-0.118453207545388,24.90876,23.35102,23.83409,23.16041,23.07698
1237648721252190385,229.069616052918,-0.117383305048241,24.46579,23.48239,22.88782,22.65285,21.69174
1237648721252189481,229.066007582774,-0.110205955983802,21.97002,20.74092,20.40631,20.35155,20.28962
1237648721252191352,229.064939693607,-0.114735601119185,24.43343,23.42756,22.69163,22.3636,22.15351
1237648721252189482,229.065646771845,-0.109154181712186,21.99299,21.08873,20.74743,20.64215,20.54761
1237648721252189485,229.067385114614,-0.108986419009981,23.14225,21.88897,21.57852,21.35269,21.87819
1237648721252190373,229.069275561902,-0.1110908860035,21.94485,20.76799,20.47881,20.29363,20.16409
1237648721252190374,229.069754424976,-0.110656944703781,23.8827,22.99742,22.36693,21.79286,22.13534
1237648721252191107,229.063589682367,-0.120657114882212,22.60262,21.69817,21.35707,21.22042,21.87427
1237648721252191142,229.06888159475,-0.122276414624012,23.25934,22.06787,21.7375,21.40358,21.49048
1237648721252189815,228.973464003993,-0.150966770703376,23.66668,22.03753,21.49482,21.5132,21.3348
1237648721252190635,228.9639853977,-0.137324741891083,24.19739,23.13682,22.52902,22.50402,21.43027
