,hip,ra,dec,vmag,parallax,b-v,v-i,distance,absmag
155,16979,03 38 22.57,+22 29 59.2,10.09,,0.634,0.7,,
156,16983,03 38 25.77,+17 35 57.3,8.93,,0.318,0.37,,
157,16996,03 38 35.90,+24 36 06.1,8.22,,0.428,0.5,,
158,17000,03 38 40.71,+22 39 35.0,6.71,,-0.001,0.02,,
159,17009,03 38 49.07,+20 23 32.9,9.34,,0.479,0.55,,
160,17020,03 38 56.85,+24 34 11.7,10.53,,0.645,0.71,,
161,17026,03 39 00.06,+20 54 57.1,6.5,,0.151,0.19,,
162,17034,03 39 06.71,+24 42 10.7,7.11,,0.039,0.05,,
163,17037,03 39 07.41,+25 09 24.6,9.07,,0.22399999999999998,0.25,,
164,17039,03 39 10.83,+27 57 23.5,8.81,,0.254,0.29,,
165,17043,03 39 13.19,+21 50 36.1,7.27,,0.068,0.08,,
166,17044,03 39 13.46,+24 27 59.9,10.4,,0.616,0.68,,
167,17076,03 39 33.48,+18 23 07.4,8.24,,0.81,0.85,,
168,17090,03 39 39.39,+27 45 33.7,8.92,,0.256,0.29,,
169,17091,03 39 41.16,+23 17 27.6,9.94,,0.608,0.68,,
170,17125,03 40 03.07,+27 44 26.2,9.61,,0.541,0.61,,
171,17134,03 40 09.97,+26 57 38.0,8.33,,1.046,1.1,,
172,17140,03 40 13.92,+26 53 14.8,8.23,,0.26899999999999996,0.3,,
173,17148,03 40 21.58,+21 24 20.6,7.16,,0.311,0.36,,
174,17151,03 40 24.25,+29 57 22.0,8.97,,0.649,0.71,,
175,17156,03 40 29.17,+28 38 15.2,7.99,,1.7590000000000001,1.79,,
176,17168,03 40 38.76,+28 46 24.3,6.86,,0.154,0.17,,
177,17172,03 40 40.29,+29 27 16.8,9.31,,0.242,0.27,,
178,17174,03 40 41.05,+18 06 02.7,9.19,,0.737,0.78,,
179,17181,03 40 46.30,+25 19 46.3,6.11,,0.09699999999999999,0.11,,
180,17220,03 41 18.39,+28 42 10.1,6.88,,-0.004,0.02,,
181,17225,03 41 22.95,+23 29 13.4,9.17,,0.43700000000000006,0.51,,
182,17234,03 41 26.35,+19 23 18.9,8.09,,0.14800000000000002,0.16,,
183,17245,03 41 36.15,+25 37 10.0,10.1,,0.589,0.66,,
184,17282,03 42 01.89,+18 12 20.6,10.17,,0.789,0.82,,
185,17289,03 42 04.71,+22 51 31.2,9.17,,0.46299999999999997,0.53,,
186,17299,03 42 10.04,+28 18 25.0,8.06,,1.022,1.0,,
187,17305,03 42 15.91,+22 47 11.9,7.4,,0.428,0.5,,
188,17309,03 42 18.94,+19 42 01.0,5.68,,-0.016,0.01,,
189,17316,03 42 23.98,+21 28 25.0,9.85,,0.55,0.62,,
190,17317,03 42 24.01,+22 25 16.5,10.4,,0.7,0.75,,
191,17324,03 42 29.72,+26 34 20.3,8.13,,1.341,1.31,,
