"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2006 HW50)","16","24.4","23 - 103","0","9.412, 402","11.882, 170","14820","2020-10 [23.3]","none","none","bK06H50W"
"(2019 DW)","3","27.0","6.9 - 31","5","8.321, 362","11.958, 186","14752","none","none","none","bK19D00W"
"(2009 VS25)","9","24.4","23 - 103","6","10.226, 450","11.873, 346","14545","? 2028-08 [23.1] ?","none","none","bK09V25S"
"(2011 AB37)","6","25.9","11 - 51","8","7.613, 370","11.952, 234","14410","? 2037-12 [23.6] ?","none","none","bK11A37B"
"(2018 BQ)","17","25.7","13 - 56","5","9.938, 450","11.957, 210","14400","none","none","none","bK18B00Q"
"(2016 EO28)","12","29.2","2.5 - 11","7","8.782, 346","11.875, 218","14396","none","none","none","bK16E28O"
"(2019 SZ8)","1","26.2","10 - 45","8","8.646, 354","11.912, 162","14360","? 2036-10 [22.1] ?","none","none","bK19S08Z"
"(2016 TA11)","3","27.1","6.6 - 30","7","9.277, 378","11.956, 202","14317","none","none","none","bK16T11A"
"(2016 YC8)","17","24.6","21 - 94","3","9.019, 402","11.969, 250","14251","2025-10 [23.5]","none","none","bK16Y08C"
"(2011 CF66)","5","27.4","5.8 - 26","9","7.677, 450","11.993, 282","14240","? 2041-01 [22.1] ?","none","none","bK11C66F"
"(2014 DV110)","10","24.9","18 - 81","7","9.529, 306","11.947, 202","14211","2039-03 [23.2]","2042-04 [78]","none","bK14DB0V"
"(2014 SR143)","13","24.2","25 - 112","5","9.853, 450","11.956, 234","14209","2021-01 [23.1]","none","none","bK14SE3R"
"474158 (1999 FA)","55","20.7","126 - 564","0","8.802, 362","11.828, 154","13908","2025-03 [22.2]","2026-09 [58]","2027-03 [180]","a0474158"
"(2018 TA)","6","24.8","19 - 85","8","8.938, 362","11.744, 98","13903","? 2037-04 [23.9] ?","none","none","bK18T00A"
"(2015 TB)","7","27.4","5.8 - 26","7","9.856, 362","11.875, 242","13870","none","none","none","bK15T00B"
"(2019 VU2)","1","25.8","12 - 54","6","9.962, 362","11.981, 162","13791","? 2029-09 [20.6] ?","none","none","bK19V02U"
"(2017 UU1)","4","26.9","7.3 - 32","6","8.258, 362","11.825, 218","13693","none","none","none","bK17U01U"
"(2017 GJ4)","2","25.9","11 - 51","7","8.988, 290","11.839, 162","13690","? 2039-03 [22.7] ?","none","none","bK17G04J"
"(2016 RA34)","6","24.5","22 - 98","5","9.783, 402","11.981, 330","13537","2027-08 [22.9]","none","none","bK16R34A"
"(2003 WE)","13","24.6","21 - 94","7","8.155, 362","11.965, 226","13517","? 2024-04 [23.6] ?","none","none","bK03W00E"
"(2017 BM32)","8","24.4","23 - 103","7","8.869, 370","11.794, 282","13516","? 2022-01 [23.1] ?","none","none","bK17B32M"
"(2019 XS)","3","24.2","25 - 112","7","9.932, 442","11.898, 394","13487","2020-12 [22.6]","2020-11 [220]","2022-11 [3400]","bK19X00S"
"(2006 RH2)","6","27.2","6.3 - 28","6","8.348, 370","11.594, 162","13421","none","none","none","bK06R02H"
"(2018 GC5)","4","26.1","10 - 47","7","9.237, 370","11.973, 218","13388","none","none","none","bK18G05C"
"(2016 ET85)","5","25.6","13 - 59","7","9.373, 362","11.986, 218","13362","? 2032-11 [24.0] ?","none","none","bK16E85T"
"(2016 GF216)","31","24.9","18 - 81","0","10.130, 450","11.934, 210","13354","2022-03 [23.0]","none","none","bK16GL6F"
"(2017 RK)","2","25.5","14 - 62","8","8.040, 370","11.943, 90","13345","? 2035-06 [17.9] ?","none","none","bK17R00K"
"(2014 MA6)","25","24.5","22 - 98","5","9.085, 362","11.832, 218","13329","2024-05 [23.6]","none","none","bK14M06A"
"(2020 BY10)","1","27.7","5.1 - 23","7","9.370, 306","11.913, 170","13193","? 2028-01 [23.5] ?","none","none","bK20B10Y"
"138404 (2000 HA24)","83","19.1","263 - 1177","0","9.521, 378","11.973, 314","13174","2021-03 [17.7]","2021-09 [93]","2034-03 [390]","a0138404"
"(2017 LW)","15","25.4","14 - 65","6","9.841, 378","11.989, 106","13121","? 2040-04 [20.9] ?","none","none","bK17L00W"
"(2016 RL17)","4","26.5","8.7 - 39","6","10.259, 346","11.912, 250","13067","? 2035-07 [23.2] ?","none","none","bK16R17L"
"(2020 AK3)","10","26.1","11 - 47","6","9.005, 370","11.816, 322","13051","2021-01 [23.5]","none","none","bK20A03K"
"(2017 WJ16)","5","24.3","24 - 107","6","8.910, 378","11.955, 66","13050","2023-10 [21.8]","2023-12 [25]","2020-11 [430]","bK17W16J"
"(2012 KC45)","4","29.4","2.3 - 10","7","8.089, 370","11.835, 130","13026","? 2035-05 [22.1] ?","none","none","bK12K45C"
"(2014 DD112)","12","23.7","32 - 142","6","9.468, 370","11.861, 146","13025","2020-07 [22.2]","none","none","bK14DB2D"
"(2019 HN4)","2","28.6","3.3 - 15","6","8.907, 378","11.953, 170","12886","none","none","none","bK19H04N"
"(2019 UN2)","5","25.2","16 - 71","7","8.231, 354","11.991, 210","12862","2020-04 [23.7]","none","none","bK19U02N"
"(2019 TB7)","5","26.8","7.6 - 34","6","8.413, 362","11.968, 122","12818","none","none","none","bK19T07B"
"(2020 BS3)","5","26.6","8.4 - 38","7","9.532, 386","11.921, 226","12736","none","none","none","bK20B03S"
"(2004 XD51)","9","25.0","17 - 78","7","9.168, 362","11.913, 130","12708","? 2022-10 [20.8] ?","none","none","bK04X51D"
"(2018 AL3)","7","24.3","24 - 107","6","8.021, 370","11.994, 242","12657","2022-06 [23.4]","none","none","bK18A03L"
"(2011 AM24)","88","20.5","138 - 618","0","8.702, 370","11.985, 130","12633","2020-03 [20.0]","2024-07 [1.4e4]","2024-07 [280]","bK11A24M"
"(2016 SL3)","8","25.0","17 - 78","3","10.008, 386","11.960, 274","12568","2020-10 [23.5]","none","none","bK16S03L"
"(2017 FO127)","2","26.8","7.6 - 34","7","8.306, 378","11.991, 298","12538","none","none","none","bK17FC7O"
"(2016 PD2)","8","24.6","21 - 94","7","9.637, 322","11.947, 170","12537","? 2027-07 [21.9] ?","none","none","bK16P02D"
"(2007 YS56)","11","25.7","13 - 56","6","9.889, 402","11.958, 330","12512","? 2030-01 [23.6] ?","none","none","bK07Y56S"
"(2019 RR2)","1","26.6","8.3 - 37","6","9.349, 386","11.862, 346","12474","none","none","none","bK19R02R"
"(2017 FW128)","4","27.5","5.5 - 25","7","9.340, 338","11.838, 122","12449","none","none","none","bK17FC8W"
"(2013 TK4)","12","24.0","28 - 123","3","10.175, 418","11.875, 322","12409","2022-09 [22.9]","none","none","bK13T04K"
"(2008 AF3)","14","26.1","10 - 47","4","9.297, 450","11.865, 338","12401","none","none","none","bK08A03F"
"(2009 SH1)","6","29.4","2.3 - 10","9","9.525, 394","11.980, 194","12362","none","none","none","bK09S01H"
"(2009 XZ6)","11","26.2","10 - 45","7","8.747, 362","11.716, 162","12346","? 2036-12 [23.6] ?","none","none","bK09X06Z"
"(2019 UK13)","17","24.8","19 - 85","6","9.459, 410","11.942, 242","12290","2026-05 [23.8]","none","none","bK19U13K"
"(2013 UB)","19","26.6","8.3 - 37","3","10.278, 330","11.889, 250","12193","2020-09 [22.0]","none","none","bK13U00B"
"(2003 BN4)","23","24.0","28 - 123","0","9.696, 370","11.998, 210","12134","2022-11 [21.6]","none","none","bK03B04N"
"(2005 HB4)","18","24.4","23 - 103","5","9.120, 378","11.410, 154","12115","2024-09 [23.9]","none","none","bK05H04B"
"(2014 FZ)","7","27.0","6.9 - 31","7","8.889, 402","11.918, 98","11869","? 2022-04 [22.1] ?","none","none","bK14F00Z"
"424482 (2008 DG5)","64","19.5","219 - 979","0","8.730, 346","11.839, 162","11849","2021-09 [19.9]","2025-06 [9.1e4]","2025-06 [2200]","a0424482"
"(2013 SP19)","5","29.2","2.5 - 11","7","9.654, 378","12.000, 226","11819","none","none","none","bK13S19P"
"(2018 RB1)","4","27.9","4.6 - 20","6","8.319, 370","11.962, 298","11806","? 2026-02 [21.6] ?","none","none","bK18R01B"
"(2012 HD20)","21","22.3","60 - 270","2","9.686, 394","11.942, 186","11739","2020-07 [20.9]","none","none","bK12H20D"
"(2019 TA2)","8","24.8","19 - 85","4","9.552, 394","11.941, 322","11712","2030-08 [20.8]","none","none","bK19T02A"
"(2019 UY1)","9","23.9","29 - 129","5","10.518, 426","11.834, 290","11686","2025-10 [22.2]","none","none","bK19U01Y"
"(2020 AF2)","4","24.5","22 - 98","6","8.941, 362","11.940, 186","11542","2020-03 [23.4]","none","none","bK20A02F"
"(2011 UG169)","5","25.8","12 - 54","7","10.198, 402","11.993, 210","11534","? 2024-08 [21.9] ?","none","none","bK11UG9G"
"(2016 CS247)","20","25.5","14 - 62","5","9.344, 434","11.863, 146","11476","2024-01 [23.5]","none","none","bK16CO7S"
"(2009 DO111)","29","22.8","48 - 214","2","9.869, 402","11.878, 354","11463","2022-12 [20.1]","2037-03 [84]","none","bK09DB1O"
"(2006 HU50)","12","24.7","20 - 89","7","9.513, 194","11.991, 130","11385","? 2025-04 [19.2] ?","none","none","bK06H50U"
"(2012 HB2)","9","25.8","12 - 54","7","9.199, 386","11.969, 66","11310","? 2030-05 [20.5] ?","none","none","bK12H02B"
"(2016 RM20)","4","26.2","10 - 45","7","8.318, 362","11.991, 146","11282","? 2021-08 [23.9] ?","none","none","bK16R20M"
"(2019 SO1)","1","26.8","7.6 - 34","7","10.411, 386","11.938, 298","11264","none","none","none","bK19S01O"
"(2006 BU7)","8","26.3","10 - 43","7","8.423, 370","11.933, 274","11234","none","none","none","bK06B07U"
"499998 (2011 PT)","53","23.9","29 - 129","0","9.939, 354","11.989, 154","11201","2020-05 [21.7]","none","none","a0499998"
"(2014 HL129)","7","28.3","3.8 - 17","7","9.494, 194","11.756, 138","11177","none","none","none","bK14HC9L"
"(2006 WZ184)","15","26.3","10 - 43","7","9.589, 298","11.887, 186","11137","? 2030-07 [19.8] ?","none","none","bK06WI4Z"
"(2019 TF3)","1","28.0","4.4 - 20","6","9.525, 378","11.591, 90","11119","? 2030-09 [21.7] ?","none","none","bK19T03F"
"(2019 VZ)","2","26.7","8.0 - 36","7","9.204, 386","11.878, 194","11115","? 2030-11 [23.9] ?","none","none","bK19V00Z"
"(2016 WL48)","6","24.9","18 - 81","7","8.993, 370","11.967, 170","11057","? 2025-05 [21.8] ?","none","none","bK16W48L"
"(2016 DK1)","21","27.5","5.5 - 25","7","9.342, 306","11.981, 162","11020","? 2023-10 [23.3] ?","none","none","bK16D01K"
"(2018 PM21)","3","25.6","13 - 59","7","10.275, 402","11.945, 194","11000","? 2021-05 [22.8] ?","none","none","bK18P21M"
"163000 (2001 SW169)","221","19.2","251 - 1124","0","9.547, 394","11.889, 314","10990","2021-12 [17.4]","2022-10 [45]","none","a0163000"
"(2016 WL7)","4","24.3","24 - 107","6","9.120, 370","11.974, 290","10973","? 2028-11 [23.9] ?","none","none","bK16W07L"
"(2006 XW4)","11","24.3","24 - 107","7","8.864, 370","11.983, 306","10938","? 2022-05 [20.3] ?","none","none","bK06X04W"
"(2015 HH)","11","26.1","10 - 47","7","7.961, 362","11.974, 258","10888","none","none","none","bK15H00H"
"(2017 SP21)","1","27.8","4.8 - 21","5","8.744, 362","11.887, 322","10846","none","none","none","bK17S21P"
"(2017 DA36)","19","25.1","17 - 74","6","8.671, 370","11.909, 250","10692","2021-08 [24.0]","none","none","bK17D36A"
"(2016 DR2)","5","25.6","13 - 59","8","9.512, 378","11.914, 266","10489","? 2022-11 [24.0] ?","none","none","bK16D02R"
"(2016 SP3)","3","27.9","4.6 - 20","7","9.598, 402","11.969, 274","10375","none","none","none","bK16S03P"
"(2008 TN9)","7","27.8","4.8 - 21","8","9.285, 370","11.889, 282","10292","? 2029-10 [21.4] ?","none","none","bK08T09N"
"429389 (2010 PR10)","47","21.6","83 - 372","0","8.339, 362","11.851, 130","10245","2023-01 [21.6]","2031-09 [330]","none","a0429389"
"(2017 PE)","10","24.4","23 - 103","6","8.609, 370","11.925, 330","10244","2020-03 [23.2]","none","none","bK17P00E"
"(2001 UP)","18","25.7","13 - 56","3","10.320, 378","11.965, 282","10209","2035-08 [23.9]","none","none","bK01U00P"
"(2019 SS2)","1","30.7","1.3 - 5.6","7","8.578, 450","11.982, 386","10207","none","none","none","bK19S02S"
"(2019 KY)","5","26.2","10 - 45","6","8.975, 354","11.893, 130","10142","? 2034-05 [21.4] ?","none","none","bK19K00Y"
"(2016 WM8)","4","24.2","25 - 112","7","8.240, 354","11.961, 210","10136","? 2021-01 [23.9] ?","none","none","bK16W08M"
"(2007 DC)","8","27.5","5.5 - 25","8","9.669, 314","11.950, 194","10092","? 2036-10 [22.7] ?","none","none","bK07D00C"
"(2010 JA)","12","27.0","6.9 - 31","6","8.988, 370","11.955, 274","10084","? 2026-10 [23.7] ?","none","none","bK10J00A"
"(2018 TD6)","2","24.9","18 - 81","8","8.468, 354","11.948, 266","10083","? 2027-02 [23.3] ?","none","none","bK18T06D"
"(2014 RJ11)","6","27.3","6.0 - 27","7","9.325, 322","11.710, 178","10058","? 2037-08 [21.8] ?","none","none","bK14R11J"
"(2016 AT8)","5","23.9","29 - 129","7","9.257, 370","11.966, 178","10022","? 2026-06 [21.7] ?","none","none","bK16A08T"
"(2014 HR198)","6","28.5","3.5 - 16","9","9.654, 426","11.998, 146","10006","none","none","none","bK14HJ8R"
"(2019 TM2)","11","24.1","26 - 118","5","9.737, 426","11.932, 162","9957","2022-06 [23.9]","none","none","bK19T02M"
"(2019 NQ5)","1","25.1","17 - 74","6","9.438, 402","11.918, 330","9940","? 2031-03 [22.8] ?","none","none","bK19N05Q"
"451370 (2011 AK5)","45","21.5","87 - 390","0","8.947, 362","11.860, 202","9923","2020-03 [23.8]","2037-08 [390]","none","a0451370"
"(2018 XC4)","7","26.3","10 - 43","4","9.215, 362","11.984, 242","9909","2028-11 [21.8]","none","none","bK18X04C"
"(2017 PS24)","4","25.0","17 - 78","6","9.622, 402","11.917, 114","9876","? 2035-06 [21.1] ?","none","none","bK17P24S"
"(2011 HO5)","18","24.3","24 - 107","6","9.070, 362","11.954, 298","9760","2025-11 [23.9]","none","none","bK11H05O"
"(2017 CQ1)","5","24.4","23 - 103","7","8.596, 362","11.987, 234","9735","? 2026-01 [21.9] ?","none","none","bK17C01Q"
"(2019 UL2)","6","25.0","17 - 78","7","8.241, 354","11.940, 210","9678","2020-04 [23.7]","none","none","bK19U02L"
"(1992 JD)","12","25.0","17 - 78","6","8.849, 362","11.868, 178","9639","? 2030-10 [23.8] ?","none","none","bJ92J00D"
"(2000 WG10)","12","23.4","36 - 163","8","8.515, 370","11.989, 218","9625","? 2025-07 [23.0] ?","none","none","bK00W10G"
"(2009 DC12)","12","22.9","46 - 205","6","9.735, 306","11.931, 106","9563","2020-11 [23.6]","none","none","bK09D12C"
"(2008 MQ1)","24","24.2","25 - 112","6","9.195, 394","11.991, 82","9546","? 2026-02 [23.7] ?","none","none","bK08M01Q"
"(2018 WR)","3","26.2","10 - 45","6","7.920, 354","11.872, 274","9473","? 2042-06 [23.4] ?","none","none","bK18W00R"
"(2019 JY1)","3","28.2","4.0 - 18","7","8.668, 370","11.836, 146","9450","? 2036-04 [23.8] ?","none","none","bK19J01Y"
"(2006 DN)","24","24.5","22 - 98","7","9.391, 450","11.933, 178","9421","? 2026-12 [23.6] ?","none","none","bK06D00N"
"(1998 VD32)","8","22.2","63 - 282","8","9.432, 450","11.809, 338","9400","? 2021-07 [21.2] ?","none","none","bJ98V32D"
"(2004 SR)","13","23.8","30 - 135","7","8.162, 362","11.877, 178","9398","? 2020-03 [21.1] ?","none","none","bK04S00R"
"(2014 FR37)","14","22.9","46 - 205","5","8.389, 354","11.984, 242","9252","2022-06 [22.5]","2035-10 [360]","2035-10 [19]","bK14F37R"
"(2015 FM120)","7","26.2","10 - 45","7","9.481, 362","11.796, 250","9251","none","none","none","bK15FC0M"
"(2017 FU102)","6","28.7","3.2 - 14","4","9.138, 330","11.965, 186","9181","? 2036-03 [17.0] ?","none","none","bK17FA2U"
"(2011 DT9)","10","25.2","16 - 71","6","8.300, 362","11.981, 162","9156","? 2025-07 [22.4] ?","none","none","bK11D09T"
"(2018 UL)","2","29.2","2.5 - 11","6","10.019, 354","11.999, 242","9135","none","none","none","bK18U00L"
"367943 Duende (2012 DA14)","80","24.0","28 - 123","0","8.479, 370","11.998, 122","9074","2026-01 [23.1]","none","none","a0367943"
"459200 (2012 DK61)","42","21.0","110 - 491","0","9.223, 362","11.981, 154","9059","2022-09 [20.5]","2037-08 [25]","none","a0459200"
"253062 (2002 TC70)","62","21.0","110 - 491","0","10.488, 434","11.998, 242","9031","2020-11 [21.0]","2026-07 [62]","none","a0253062"
"(2014 FZ43)","5","22.6","53 - 235","8","8.332, 370","11.986, 274","9023","2034-10 [22.8]","none","none","bK14F43Z"
"(2010 PS66)","20","25.1","17 - 74","6","10.293, 450","11.916, 210","9023","? 2024-04 [23.8] ?","none","none","bK10P66S"
"(2016 UX5)","7","26.5","8.7 - 39","7","8.804, 378","11.761, 266","9019","none","none","none","bK16U05X"
"(2010 VC72)","20","23.0","44 - 195","2","9.726, 402","11.948, 346","8987","2020-09 [21.9]","none","none","bK10V72C"
"(2011 HR4)","5","24.5","22 - 98","9","10.177, 442","11.893, 298","8881","? 2025-03 [20.5] ?","none","none","bK11H04R"
"(2017 VE15)","8","24.8","19 - 85","6","10.278, 410","11.943, 282","8880","? 2028-08 [21.2] ?","none","none","bK17V15E"
"(2017 AE5)","17","22.3","60 - 270","0","10.215, 346","11.855, 242","8842","2020-03 [22.0]","2023-02 [190]","none","bK17A05E"
"(2019 CJ)","14","25.5","14 - 62","6","9.808, 394","11.976, 82","8825","? 2024-01 [22.6] ?","none","none","bK19C00J"
"(2019 CU)","6","24.2","25 - 112","6","9.008, 370","11.862, 226","8818","? 2029-07 [21.8] ?","none","none","bK19C00U"
"(2019 YT3)","5","25.8","12 - 54","7","9.181, 330","11.794, 186","8799","? 2043-04 [22.2] ?","none","none","bK19Y03T"
"(2019 AQ14)","1","27.0","6.9 - 31","8","8.848, 370","11.955, 306","8776","? 2033-01 [24.0] ?","none","none","bK19A14Q"
"(2018 HL)","4","23.2","40 - 178","7","9.667, 378","11.972, 330","8762","? 2030-07 [23.4] ?","none","none","bK18H00L"
"(2014 JN25)","5","26.6","8.3 - 37","8","9.588, 370","11.885, 130","8707","none","none","none","bK14J25N"
"(2019 AN11)","2","25.3","15 - 68","7","9.737, 362","11.958, 266","8669","? 2033-01 [21.9] ?","none","none","bK19A11N"
"(2017 GL7)","5","22.8","48 - 214","6","9.838, 410","11.957, 290","8666","2021-07 [22.6]","2021-10 [21]","none","bK17G07L"
"(2010 GC35)","12","24.6","21 - 94","0","9.124, 362","11.833, 218","8656","2022-01 [21.5]","none","none","bK10G35C"
"(2020 DJ)","3","26.0","11 - 49","5","8.339, 378","11.650, 58","8640","2020-03 [19.8]","none","none","bK20D00J"
"(2018 DE1)","3","25.5","14 - 62","6","8.762, 378","11.880, 314","8630","2020-03 [23.8]","none","none","bK18D01E"
"(2014 QJ33)","11","23.7","32 - 142","7","9.930, 370","11.946, 322","8625","2026-07 [23.7]","none","2020-09 [23]","bK14Q33J"
"387816 (2004 FM17)","48","19.4","229 - 1026","0","10.508, 450","11.961, 314","8619","2023-02 [20.6]","2024-05 [76]","none","a0387816"
"(2018 EW1)","8","26.3","10 - 43","6","8.397, 362","11.920, 282","8611","? 2025-09 [23.4] ?","none","none","bK18E01W"
"(2016 VS)","3","27.4","5.8 - 26","6","9.502, 450","11.868, 386","8601","? 2026-06 [23.8] ?","none","none","bK16V00S"
"(2019 JH7)","4","29.6","2.1 - 9.4","5","8.116, 450","11.908, 386","8582","none","none","none","bK19J07H"
"(2009 FX10)","7","24.3","24 - 107","8","9.555, 450","11.868, 282","8581","? 2026-01 [23.7] ?","none","none","bK09F10X"
"(2019 GC)","2","26.5","8.7 - 39","7","9.802, 322","11.845, 202","8543","? 2033-03 [22.0] ?","none","none","bK19G00C"
"(2005 YR3)","25","23.1","42 - 187","1","10.057, 306","11.947, 202","8506","2022-12 [23.1]","2025-12 [48]","none","bK05Y03R"
"(2007 VW83)","10","24.1","26 - 118","7","10.000, 450","11.937, 322","8501","? 2025-10 [22.7] ?","none","none","bK07V83W"
"(2014 UW57)","7","26.4","9.1 - 41","8","9.782, 418","11.965, 138","8499","none","none","none","bK14U57W"
"(2015 EQ7)","18","23.5","35 - 155","5","9.235, 362","11.902, 298","8470","2020-09 [22.1]","none","none","bK15E07Q"
"216985 (2000 QK130)","58","21.1","105 - 469","0","8.336, 346","11.824, 250","8469","2021-11 [22.7]","2027-04 [69]","2036-03 [1.2e4]","a0216985"
"(2019 NN1)","3","24.8","19 - 85","7","9.461, 378","11.981, 258","8466","? 2028-12 [23.8] ?","none","none","bK19N01N"
"417419 (2006 KL21)","56","20.8","120 - 538","0","8.456, 362","11.933, 122","8458","2022-08 [20.3]","2031-07 [450]","2031-07 [36]","a0417419"
"(2019 NP5)","4","27.6","5.3 - 23","7","9.094, 386","11.929, 114","8457","? 2041-06 [23.2] ?","none","none","bK19N05P"
"(2007 WZ4)","12","24.3","24 - 107","7","8.539, 338","11.906, 106","8417","? 2034-06 [23.7] ?","none","none","bK07W04Z"
"(2014 SL1)","5","26.0","11 - 49","7","8.840, 362","11.823, 274","8398","? 2038-03 [23.5] ?","none","none","bK14S01L"
"(2016 BC14)","48","20.9","115 - 514","1","9.172, 362","11.936, 138","8398","2020-03 [20.9]","2028-11 [11]","none","bK16B14C"
"(2011 UK10)","12","25.1","17 - 74","7","9.097, 354","11.945, 234","8335","? 2026-10 [19.3] ?","none","none","bK11U10K"
"(2019 UM2)","3","28.4","3.6 - 16","7","9.121, 394","11.784, 82","8238","? 2024-10 [22.2] ?","none","none","bK19U02M"
"(2020 BW5)","12","26.4","9.1 - 41","7","9.759, 338","11.863, 258","8166","? 2023-06 [23.3] ?","none","none","bK20B05W"
"(2018 BH3)","9","25.4","14 - 65","3","10.622, 394","11.991, 290","8136","2031-03 [21.2]","none","none","bK18B03H"
"(2005 CN)","21","22.8","48 - 214","2","8.414, 450","11.667, 386","8123","2045-01 [23.4]","none","none","bK05C00N"
"(2010 WD9)","17","23.7","32 - 142","5","9.875, 450","11.922, 170","8119","2023-09 [23.4]","2044-09 [14]","none","bK10W09D"
"(2020 BL4)","2","26.5","8.5 - 38","8","9.859, 386","11.992, 234","8084","none","none","none","bK20B04L"
"(2019 YV1)","15","25.1","17 - 74","5","8.501, 362","11.489, 322","8081","none","none","none","bK19Y01V"
"(2015 FB)","6","26.2","10 - 45","6","8.959, 370","11.837, 154","8035","? 2028-08 [20.6] ?","none","none","bK15F00B"
"(2017 SL14)","17","22.9","46 - 205","4","10.017, 410","11.990, 122","8023","2020-07 [23.4]","none","none","bK17S14L"
"(2008 UL3)","9","25.4","14 - 65","8","9.405, 362","11.909, 114","8014","? 2036-10 [21.2] ?","none","none","bK08U03L"
"(2018 EM4)","6","25.3","15 - 68","7","8.999, 330","11.956, 234","8011","? 2031-07 [21.9] ?","none","none","bK18E04M"
"(2002 GR)","18","23.2","40 - 178","6","8.818, 362","11.923, 138","7985","2022-10 [23.9]","none","none","bK02G00R"
"(2012 HC25)","4","25.8","12 - 54","9","8.817, 362","11.989, 210","7967","none","none","none","bK12H25C"
"(2019 NN4)","10","25.8","12 - 54","4","9.606, 434","11.985, 154","7961","2027-05 [22.7]","none","none","bK19N04N"
"(2013 OY3)","9","24.8","19 - 85","7","10.126, 330","11.957, 266","7943","? 2023-09 [23.5] ?","none","none","bK13O03Y"
"(2020 BZ6)","3","25.6","13 - 59","7","9.810, 370","11.993, 234","7921","? 2029-02 [23.7] ?","none","none","bK20B06Z"
"(2015 TG144)","4","25.6","13 - 59","7","8.118, 370","11.956, 266","7895","? 2030-02 [21.6] ?","none","none","bK15TE4G"
"(2008 CK119)","10","24.5","22 - 98","7","8.741, 362","11.983, 130","7894","? 2025-03 [23.6] ?","none","none","bK08CB9K"
"(2020 BW8)","6","26.0","11 - 50","7","9.151, 354","11.957, 250","7873","? 2042-08 [23.2] ?","none","none","bK20B08W"
"(2015 XP128)","13","23.0","44 - 195","7","9.148, 346","11.940, 226","7837","? 2022-03 [23.6] ?","none","none","bK15XC8P"
"(2016 GM134)","4","26.0","11 - 49","8","8.627, 370","11.940, 226","7832","? 2023-04 [23.5] ?","none","none","bK16GD4M"
"(2019 DF1)","5","26.6","8.3 - 37","8","9.819, 346","11.829, 90","7818","? 2043-12 [22.0] ?","none","none","bK19D01F"
"(2020 BN13)","1","26.1","11 - 47","8","9.466, 354","11.746, 146","7795","? 2027-01 [23.8] ?","none","none","bK20B13N"
"(2017 SU17)","5","28.0","4.4 - 20","7","9.038, 370","11.810, 242","7793","none","none","none","bK17S17U"
"164207 (2004 GU9)","67","21.1","105 - 469","0","10.740, 362","11.989, 338","7671","2020-03 [20.7]","2030-10 [11]","none","a0164207"
"(2018 SG3)","3","27.0","6.9 - 31","7","8.127, 370","11.964, 250","7660","none","none","none","bK18S03G"
"(2020 AX2)","2","25.5","14 - 62","7","9.598, 346","11.954, 138","7587","? 2030-11 [23.7] ?","none","none","bK20A02X"
"(2018 GS4)","7","24.9","18 - 81","6","8.870, 354","11.996, 170","7555","? 2032-10 [23.1] ?","none","none","bK18G04S"
"(2011 DR)","8","25.8","12 - 54","8","8.958, 362","11.989, 138","7552","? 2029-01 [19.8] ?","none","none","bK11D00R"
"(2019 AS)","9","26.6","8.3 - 37","7","10.207, 450","11.971, 210","7541","none","none","none","bK19A00S"
"(2019 WV1)","5","28.0","4.4 - 20","6","10.090, 410","11.825, 250","7524","none","none","none","bK19W01V"
"(2017 CO)","5","26.1","10 - 47","8","9.743, 434","11.948, 154","7486","? 2029-12 [23.6] ?","none","none","bK17C00O"
"(2018 NV)","14","22.8","48 - 214","3","8.986, 362","11.994, 170","7485","2026-02 [20.1]","none","none","bK18N00V"
"(2019 CG4)","2","29.0","2.8 - 12","7","8.629, 354","11.997, 274","7472","none","none","none","bK19C04G"
"(2018 FV3)","13","25.5","14 - 62","4","9.193, 370","11.918, 146","7471","2041-09 [23.8]","none","none","bK18F03V"
"(2020 AT1)","4","27.6","5.3 - 23","7","8.846, 338","11.761, 138","7446","? 2034-04 [23.9] ?","none","none","bK20A01T"
"(2009 BJ2)","7","27.1","6.6 - 30","6","10.003, 378","11.968, 346","7416","? 2032-01 [23.1] ?","none","none","bK09B02J"
"(2017 UA)","2","28.5","3.5 - 16","6","9.040, 394","11.999, 306","7369","none","none","none","bK17U00A"
"(2019 LN1)","6","24.2","25 - 112","5","8.780, 370","11.971, 106","7347","2022-11 [23.9]","none","none","bK19L01N"
"(2008 FX6)","8","25.0","17 - 78","6","8.380, 370","11.916, 274","7302","none","none","none","bK08F06X"
"(2006 BQ7)","8","26.5","8.7 - 39","8","8.881, 362","11.935, 82","7247","? 2031-01 [19.6] ?","none","none","bK06B07Q"
"(2004 SU55)","12","24.7","20 - 89","6","10.504, 450","11.993, 210","7218","? 2025-08 [22.9] ?","none","none","bK04S55U"
"(2006 BP147)","6","26.5","8.7 - 39","8","9.678, 354","11.901, 138","7179","? 2025-01 [23.9] ?","none","none","bK06BE7P"
"(2019 AE3)","2","27.4","5.8 - 26","6","9.841, 362","11.985, 322","7172","none","none","none","bK19A03E"
"(2016 AE65)","5","24.7","20 - 89","8","10.357, 322","11.994, 250","7171","? 2022-12 [19.5] ?","none","none","bK16A65E"
