"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2015 HQ182)","3","25.0","17 - 78","9","7.843, 426","11.964, 290","51406","? 2021-06 [23.2] ?","none","none","bK15HI2Q"
"(2019 US)","5","26.6","8.3 - 37","7","8.255, 346","11.990, 210","51268","? 2023-10 [22.9] ?","none","none","bK19U00S"
"(2014 YT15)","4","27.2","6.3 - 28","6","7.137, 370","11.830, 154","51136","? 2040-06 [23.7] ?","none","none","bK14Y15T"
"(2015 RT82)","11","25.7","13 - 56","7","7.289, 354","11.771, 98","50994","? 2026-03 [23.9] ?","none","none","bK15R82T"
"(2019 JF1)","27","23.7","32 - 142","4","7.892, 298","11.846, 138","50970","2023-01 [23.4]","2029-07 [230]","none","bK19J01F"
"(2020 BR11)","2","28.1","4.1 - 18","7","7.663, 402","11.876, 58","50807","2020-03 [24.0]","none","none","bK20B11R"
"(2004 XK3)","32","24.4","23 - 103","0","8.071, 354","11.962, 162","50800","2023-05 [22.1]","2038-07 [13]","none","bK04X03K"
"(2015 LV24)","19","23.5","35 - 155","2","7.742, 378","11.962, 194","50585","2031-06 [22.4]","none","none","bK15L24V"
"(2016 TQ54)","2","27.2","6.3 - 28","6","9.162, 418","12.000, 306","50508","? 2027-10 [23.3] ?","none","none","bK16T54Q"
"(2017 GX6)","2","27.4","5.8 - 26","5","6.651, 362","11.916, 178","50484","none","none","none","bK17G06X"
"(2008 LH2)","26","24.4","23 - 103","5","8.847, 402","11.913, 306","50062","2038-06 [23.7]","none","2039-06 [5800]","bK08L02H"
"(2020 AW)","2","28.7","3.2 - 14","7","7.705, 402","11.935, 58","49876","? 2028-01 [23.0] ?","none","none","bK20A00W"
"(2017 OE20)","3","25.3","15 - 68","6","7.760, 362","11.810, 154","49834","? 2030-12 [21.1] ?","none","none","bK17O20E"
"(2019 VA2)","1","28.5","3.5 - 16","7","8.417, 362","11.833, 122","49383","none","none","none","bK19V02A"
"(2014 FA7)","7","26.7","8.0 - 36","6","7.369, 362","11.706, 170","49362","? 2032-09 [22.7] ?","none","none","bK14F07A"
"(2017 BG92)","6","28.7","3.2 - 14","6","7.462, 314","11.939, 154","49192","? 2024-02 [23.3] ?","none","none","bK17B92G"
"(2017 SO21)","5","25.3","15 - 68","6","7.137, 362","11.662, 146","49003","? 2028-09 [21.6] ?","none","none","bK17S21O"
"(2015 XT378)","3","27.9","4.6 - 20","5","8.198, 378","11.993, 290","48998","none","none","none","bK15Xb8T"
"(2019 SE9)","10","25.1","17 - 74","5","7.857, 362","11.428, 74","48915","2026-04 [23.9]","none","none","bK19S09E"
"(2019 BX1)","3","27.8","4.8 - 21","6","7.080, 354","11.891, 42","48863","? 2029-01 [19.2] ?","none","none","bK19B01X"
"(2015 HA177)","4","27.7","5.0 - 22","7","7.669, 370","11.982, 290","48679","? 2021-04 [23.6] ?","none","none","bK15HH7A"
"(2014 GJ1)","10","24.2","25 - 112","5","9.086, 386","11.999, 298","48484","2025-05 [23.0]","none","none","bK14G01J"
"(2009 QR)","11","27.4","5.8 - 26","7","8.493, 354","11.806, 82","48453","? 2023-07 [16.8] ?","none","none","bK09Q00R"
"(2006 GB)","42","20.3","152 - 678","1","8.260, 354","11.938, 186","48125","2020-03 [21.8]","2022-04 [130]","2037-03 [2.2e4]","bK06G00B"
"(2016 WD7)","9","27.3","6.0 - 27","5","8.754, 450","11.982, 178","48107","none","none","none","bK16W07D"
"(2016 UO5)","5","25.8","12 - 54","7","9.210, 362","11.934, 138","48013","? 2022-11 [23.9] ?","none","none","bK16U05O"
"(2019 FS2)","6","27.3","6.0 - 27","5","7.265, 418","11.909, 354","47965","none","none","none","bK19F02S"
"(2018 WS)","4","26.5","8.7 - 39","7","8.289, 450","11.906, 194","47792","none","none","none","bK18W00S"
"(2019 YS3)","9","24.7","20 - 89","6","9.271, 354","11.912, 306","47770","2020-10 [22.9]","none","none","bK19Y03S"
"101955 Bennu (1999 RQ36)","97","20.2","159 - 713","0","6.995, 362","11.893, 210","47754","none","none","none","a0101955"
"(2009 FQ32)","6","26.8","7.6 - 34","8","7.978, 186","11.614, 74","47427","? 2028-03 [20.8] ?","none","none","bK09F32Q"
"(2017 DC36)","37","22.1","66 - 296","2","9.038, 402","11.967, 306","47422","2020-03 [23.1]","2021-07 [43]","none","bK17D36C"
"(2017 HU2)","7","25.9","11 - 51","6","8.420, 394","11.913, 114","47213","2034-04 [22.7]","none","none","bK17H02U"
"(2004 EO20)","29","22.5","55 - 246","1","8.689, 410","11.838, 290","47085","2023-04 [20.2]","none","none","bK04E20O"
"(2018 FO3)","8","25.7","13 - 56","3","7.417, 370","11.719, 146","46686","2027-02 [22.1]","none","none","bK18F03O"
"(2015 FC345)","3","27.8","4.8 - 21","7","8.108, 338","11.930, 170","46650","? 2035-07 [23.5] ?","none","none","bK15FY5C"
"(2008 NP3)","14","23.3","38 - 170","0","8.592, 450","11.962, 386","46642","2020-03 [21.8]","2033-03 [11]","2036-02 [110]","bK08N03P"
"(2002 JR100)","27","24.3","24 - 107","0","8.629, 386","11.976, 290","46606","2026-04 [20.7]","none","none","bK02JA0R"
"(2018 NE)","11","23.4","36 - 163","2","8.138, 370","11.989, 306","46334","2020-07 [22.4]","2020-11 [110]","none","bK18N00E"
"(2007 CM26)","9","25.1","17 - 74","0","8.806, 370","11.844, 170","46163","2027-11 [22.8]","none","none","bK07C26M"
"488615 (2002 SR)","19","21.7","80 - 356","0","7.513, 354","11.930, 122","45763","2020-06 [21.2]","2035-02 [110]","none","a0488615"
"(2018 FQ1)","3","26.9","7.3 - 32","7","7.780, 330","11.992, 178","45466","? 2023-08 [23.1] ?","none","none","bK18F01Q"
"(2009 TD8)","6","26.9","7.3 - 32","7","9.321, 402","11.948, 210","45402","? 2043-08 [23.8] ?","none","none","bK09T08D"
"(2015 VE)","11","25.8","12 - 54","6","6.929, 362","11.937, 138","45371","? 2030-04 [22.9] ?","none","none","bK15V00E"
"(2006 YP)","14","23.9","29 - 129","0","6.807, 362","11.813, 186","45267","2023-08 [23.4]","2029-05 [1200]","2029-05 [27]","bK06Y00P"
"(2017 YC2)","12","23.5","35 - 155","1","7.529, 370","11.909, 178","45152","2037-04 [23.0]","none","none","bK17Y02C"
"(2011 AN37)","6","26.1","10 - 47","8","7.616, 346","11.966, 210","44862","? 2036-12 [22.6] ?","none","none","bK11A37N"
"(2017 VG1)","17","24.2","25 - 112","5","8.957, 362","11.738, 298","44752","2042-02 [23.7]","none","none","bK17V01G"
